carrier;home_region;route
20 ТОНН 2348039610;Краснодарский край;Краснодарский край - Тульская область
А-РОСА 5446017547;Новосибирская область;Кемеровская область - Краснодарский край
А-ТРАНС 0278942043;Республика Башкортостан;Московская область - Хабаровский край
А-ТРАНС 7451008044;Челябинская область;Волгоградская область - Челябинская область
АБ ТРАНС СИСТЕМ 6678068416;Свердловская область;Свердловская область - Ханты-Мансийский автономный округ
АБС 7328084935;Ульяновская область;Курганская область - Ульяновская область
АБС ЛОГИСТИК 7325173834;Ульяновская область;Курганская область - Ульяновская область
АБТ 6325074990;Самарская область;Московская область - Свердловская область
АБТ 6325074990;Самарская область;Московская область - Свердловская область
АБТ 6325074990;Самарская область;Московская область - Свердловская область
АБТ 6325074990;Самарская область;Московская область - Пермский край
АБТ 6325074990;Самарская область;Московская область - Свердловская область
АВ ТРАНСПОРТ 7802759268;Ленинградская область;Мурманская область - Санкт-Петербург
АВАЛОН-С 1327000473;Республика Мордовия;Московская область - Свердловская область
АВАНГАРД НН ООО ТЭК 5256164960;Нижегородская область;Краснодарский край - Мурманская область
АВАНГАРД НН ООО ТЭК 5256164960;Нижегородская область;Волгоградская область - Челябинская область
АВАНГАРД ООО 0105076092 0105076092;Республика Адыгея;Свердловская область - Челябинская область
АВГУСТ ООО 2225185153;Алтайский край;Московская область - Приморский край
АВЕРС-ТРАНС 5262282707;Нижегородская область;Московская область - Свердловская область
АВИРОН 7805288240;Ленинградская область;Московская область - Санкт-Петербург
АВИС 4825130738;Липецкая область;Самарская область - Свердловская область
АВИС 4825130738;Липецкая область;Самарская область - Свердловская область
АВИС 4825130738;Липецкая область;Самарская область - Свердловская область
АВК-ТРАНС 7325113313;Ульяновская область;Московская область - Ростовская область
АВК-ТРАНС 7325113313;Ульяновская область;Москва - Ростовская область
АВП-ГРУПП 2116003999;Чувашская Республика;Новосибирская область - Омская область
АВРОРА 4028065380;Калужская область;Московская область - Ставропольский край
АВТ-ГРУПП 5262235834;Нижегородская область;Московская область - Свердловская область
АВТ-ГРУПП 5262235834;Нижегородская область;Московская область - Свердловская область
АВТ-ГРУПП 5262235834;Нижегородская область;Московская область - Свердловская область
АВТ-ГРУПП 5262235834;Нижегородская область;Москва - Свердловская область
АВТ-ГРУПП 5262235834;Нижегородская область;Москва - Свердловская область
АВТО 7 5837054226;Пензенская область;Самарская область - Свердловская область
АВТО МАРКЕТ 6952031130;Тверская область;Краснодарский край - Московская область
АВТО МАРКЕТ 6952031130;Тверская область;Краснодарский край - Московская область
АВТО УСПЕХ ООО 1650339280;Республика Татарстан;Красноярский край - Свердловская область
АВТО ХОЛОД ООО 3116006913;Белгородская область;Самарская область - Свердловская область
АВТО-ГАРАНТ 6732077147;Смоленская область;Самарская область - Свердловская область
АВТО-ЛОГИСТИКА ООО ТК 6125032947;Ростовская область;Воронежская область - Санкт-Петербург
АВТО-ЛОГИСТИКА ООО ТК 6125032947;Ростовская область;Воронежская область - Санкт-Петербург
АВТО-ЛОГИСТИКА ООО ТК 6125032947;Ростовская область;Краснодарский край - Санкт-Петербург
АВТО-ЛОГИСТИКА ООО ТК 6125032947;Ростовская область;Воронежская область - Санкт-Петербург
АВТО-ПЛЮС 6324115958;Самарская область;Краснодарский край - Самарская область
АВТО-ПЛЮС 6324115958;Самарская область;Самарская область - Свердловская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
АВТО-РЕАЛ 5031128994;Московская область;Москва - Московская область
